1, 22573391,6032886,335065,617389,7573084,7513026
2, 22573391,5824107,290149,40782,7002210,6939230
3, 22573391,5613722,284656,32840,6866048,6816984
4, 22573391,5579009,284656,21599,6822017,6738211
5, 22573391,5552344,283995,21201,6769806,6678393
6, 22573391,5539328,283979,20913,6770431,6684241
7, 22573391,5196892,224536,20873,6333981,6189666
8, 22573391,4781074,196084,16224,5786890,5722307
9, 22573391,4781074,194015,16197,5785778,5721739
10, 22573391,1694615,57257,14195,2077556,2023863
11, 22573391,1457746,56837,14171,1521379,1517824
12, 22573391,1457738,50690,14126,1476483,1472912
13, 22573391,1445487,50638,14121,1474766,1470817
14, 22573391,1360943,41056,14121,1438057,1384293
15, 22573391,1170048,24513,5324,1183496,1136022
16, 22573391,1136966,19535,370,1122360,1121202
17, 22573391,1136966,19535,370,1122388,1121202
18, 22573391,1136966,19534,345,1121709,1120635
19, 22573391,1107577,5300,307,654816,653737
20, 22573391,1080091,5300,307,634723,633513
21, 22573391,1080091,5300,307,634948,633566
22, 22573391,1080091,45,305,634466,633517
23, 22573391,1080091,45,305,663857,662955
24, 22573391,89224,24,305,21205,20409
25, 22573391,89224,24,186,21487,20567
26, 22573391,89224,19,186,21453,20567
27, 22573391,86212,19,186,21342,20479
28, 22573391,80423,18,182,22421,20923
29, 22573391,64996,18,177,23958,22311
30, 22573391,53362,18,176,24922,22821
31, 22573391,33624,18,175,20078,18144
32, 22573391,27896,18,172,16336,14402
33, 22573391,18281,16,164,11993,11210
34, 22573391,18281,15,164,11633,10879
35, 22573391,18281,15,159,11323,10753
