45145141,33762
35
1,885477,662
2,1941820,1451
3,1527412,1142
4,1708638,1277
5,1603342,1200
6,1416746,1060
7,1303867,975
8,1603824,1200
9,2404881,1800
10,673159,506
11,734447,553
12,1611424,1215
13,1589258,1200
14,117420,87
15,1520934,1137
16,1346456,1000
17,801047,599
18,2771960,2076
19,2418676,1810
20,1602914,1200
21,1203298,899
22,1604167,1199
23,801726,599
24,1385472,1033
25,886606,661
26,817017,609
27,828469,617
28,1473183,1098
29,1563330,1165
30,1213108,904
31,1256898,937
32,414834,309
33,906557,683
34,115712,86
35,1091062,813
