0, 1, 36.961000
0, 2, 38.710500
0, 3, 38.546100
0, 4, 38.201700
0, 5, 39.490900
0, 6, 39.189100
0, 7, 38.546500
0, 8, 39.240300
0, 9, 39.811600
0, 10, 39.494200
0, 11, 39.951600
0, 12, 37.466100
0, 13, 38.500600
0, 14, 38.492100
0, 15, 40.940700
0, 16, 37.537900
1, 1, 40.422600
1, 2, 36.750600
1, 3, 39.068000
1, 4, 38.952500
1, 5, 39.150400
1, 6, 39.046900
1, 7, 38.786500
1, 8, 40.141600
1, 9, 40.051300
1, 10, 35.430100
1, 11, 39.590500
1, 12, 40.397500
1, 13, 39.635300
1, 14, 38.376600
1, 15, 39.450000
1, 16, 40.993600
2, 1, 34.869600
2, 2, 32.677100
2, 3, 42.436000
2, 4, 41.720800
2, 5, 39.256500
2, 6, 38.671200
2, 7, 40.514300
2, 8, 38.530800
2, 9, 38.954500
2, 10, 37.241400
2, 11, 38.240500
2, 12, 39.069100
2, 13, 38.927800
2, 14, 36.513900
2, 15, 35.188100
2, 16, 34.837000
3, 1, 39.903700
3, 2, 39.424500
3, 3, 37.498500
3, 4, 34.440500
3, 5, 38.492500
3, 6, 39.496000
3, 7, 39.095600
3, 8, 39.006800
3, 9, 39.788700
3, 10, 39.919100
3, 11, 40.813900
3, 12, 39.749200
3, 13, 36.124000
3, 14, 39.093400
3, 15, 40.574700
3, 16, 35.921600
4, 1, 37.738300
4, 2, 38.191000
4, 3, 38.826000
4, 4, 39.281800
4, 5, 37.521500
4, 6, 39.531600
4, 7, 39.178000
4, 8, 39.547100
4, 9, 37.277000
4, 10, 37.177400
4, 11, 38.576500
4, 12, 38.884300
4, 13, 38.010800
4, 14, 41.739900
4, 15, 38.706500
4, 16, 37.548100
